May,July,August,weightlbs,ageyears,female,fixed,shortcoat,curlycoat,longcoat,doublecoat,darkcoat,straightears,training,envtemp,coatlength,singleeyearea,nosewidth,noselength,nosearea,earbasewidth,pawwidth,earlength,leglength,frontheight,snoutlength,Tear,Tnose,Teye,Tmouth
0,1,0,8.616780045,4,1,0,0,0,0,1,1,0,1,24.7,5,1.342,2.792,1.639,6.257,3.714,4.168,6.159,15.2865,29.794,4.579,0.333,1.65,1.2,1.2
0,1,0,33.10657596,5,0,1,0,0,0,1,0,1,0.75,24.9,5,2.9345,4.686,2.41,15.521,7.448,6.605,14.925,24.746,48.778,7.368,-1.056,-0.65,-0.55,-0.95
0,1,0,27.66439909,4,1,1,0,0,0,1,0,1,1.948787878,23.5,3,3.05,5.074,3.447,16.753,8.694,6.615,15.797,33.099,46.393,7.792,-0.25,-0.35,0.85,0.85
0,1,0,2.721088435,2,0,1,0,0,1,0,0,0,1,26.6,7,0.9645,1.658,0.93,1.586,5.595,2.721,5.5,7.905,17.551,2.329,-0.222,0.85,0.7,1.7
0,0,1,20.40816327,11,0,1,1,0,0,0,1,0,9,16.66666667,5,0.9775,3.671,2.722,9.549,4.4465,3.714,2.917,21.1085,47.427,7.292,0.027777778,0.35,2.05,0.6
0,0,1,30.38548753,2.5,1,0,1,0,0,0,1,0,0.5,20.55555556,0,1.6985,3.781,2.287,10.197,7.243,3.429,8.051,22.3845,44.671,7.58,-1.166666667,4.45,-0.1,-0.35
0,0,1,30.6122449,4,0,0,0,0,0,1,1,0,3,17.22222222,3,0.8065,3.363,2.334,6.939,4.5745,4.49,6.808,33.8925,48.337,9.195,0.027777778,1.3,0.5,2.05
0,0,1,29.93197279,1.25,0,1,0,0,0,1,1,1,0.25,16.66666667,7,1.6505,3.493,3.244,9.72,5.912,4.549,7.728,24.6515,38.386,3.673,-0.305555556,-0.2,0.4,-0.15
0,0,1,6.893424036,8,0,1,0,0,1,0,1,1,1.948787878,20.55555556,24,0.729,2.789,1.818,4.343,3.066,2.783,13.75,13.7765,25.705,3.433,0.138888889,-0.4,0.4,-0.35
0,0,1,5.89569161,5,1,0,0,0,0,1,1,0,3,20.55555556,4,1.6665,2.837,2.241,5.058,5.984,2.956,6.04,10.421,21.851,3.63,-0.361111111,-0.55,-0.85,2.8
0,0,1,7.709750567,4,1,0,1,0,0,0,0,1,2,20.55555556,0,1.9015,2.891,1.873,5.558,4.777,3.122,5.681,14.8455,24.649,3.162,0.027777778,2,0.65,0.95
0,0,1,11.33786848,3,1,0,0,0,0,1,1,0,0,22.22222222,13,2.51,2.708,2.13,4.499,5.075,2.692,5.686,12.76,29.625,6.047,-0.444444444,-151,-1.9,-0.65
0,0,1,12.6984127,3,1,1,0,0,0,1,0,1,1,16.66666667,3,1.5405,3.004,2.43,6.422,4.9,2.824,6.487,15.012,36.259,6.45,-0.75,-1.15,0,-1.63
0,0,1,17.23356009,2.5,0,1,0,0,0,1,0,1,1.5,18.88888889,8,1.14,3.074,2.224,7.575,5.575,2.903,9.207,15.717,41.201,7.187,-0.888888889,-1.35,-1.8,-6.5
0,0,1,32.19954649,5.5,0,1,0,0,0,1,0,1,0.833333333,20.55555556,4.5,4.123,4.67,2.839,17.409,8.4775,4.452,18.336,24.2815,76.365,7.368,-0.555555556,0.9,1.8,0.15
